アイシテマース,アイシテマース,1,Tim Tam,Tom Fool,Menow,Pharamond,Phalaris,Selene,Alcibiades,Supremus,Regal Roman,Gaga,Bull Dog,Teddy,Plucky Liege,Alpoise,Equipoise,Laughing Queen,Two Lea,Bull Lea,Bull Dog,Teddy,Plucky Liege,Rose Leaves,Ballot,Colonial,Two Bob,The Porter,Sweep,Ballet Girl,Blessings,Chicle,Mission Bells,アマゾンウオリアー,Khaled,Hyperion,Gainsborough,Bayardo,Rosedrop,Selene,Chaucer,Serenissima,Eclair,Ethnarch,The Tetrarch,Karenza,Black Ray,Black Jester,Lady Brilliant,War Betsy,War Relic,Man o'War,Fair Play,Mahubah,Friar's Carse,Friar Rock,Problem,Betsy Ross,Mahmoud,Blenheim,Mah Mahal,Celerina,Teddy,Diavolezza
アイスサイレント,アイスサイレント,1,タバスコキャット,ストームキャット,Storm Bird,Northern Dancer,Nearctic,Natalma,South Ocean,New Providence,Shining Sun,Terlingua,セクレタリアト,Bold Ruler,Somethingroyal,Crimson Saint,Crimson Satan,Bolero Rose,Barbicue Sauce,Sauce Boat,キートゥザミント,グロースターク,Key Bridge,Missy Baba,My Babu,Uvira,Lady Barbizon,Barbizon,Mahmoud,Good Blood,Cancelada,Nigromante,Caninha,カスパースカイゴールド,シーキングザゴールド,ミスタープロスペクター,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,Con Game,Buckpasser,Tom Fool,Busanda,Broadway,Hasty Road,Flitabout,ビベ,ヌレイエフ,Northern Dancer,Nearctic,Natalma,Special,フォルリ,Thong,ビバレジナ,ヒズマジェスティ,Ribot,Flower Bowl,Second the Motion,Turn-to,Next Move
アイムファウンダー,アイムファウンダー,1,ノーザンテースト,Northern Dancer,Nearctic,Nearco,Pharos,Nogara,Lady Angela,Hyperion,Sister Sarah,Natalma,Native Dancer,Mahmoud,Geisha,Almahmoud,Mahmoud,Arbitrator,Lady Victoria,Victoria Park,Chop Chop,Flares,Sceptical,Victoriana,Windfields,Iribelle,Lady Angela,Hyperion,Gainsborough,Selene,Sister Sarah,Abbots Trace,Sarita,クラフテイワイフ,Crafty Prospector,ミスタープロスペクター,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,Real Crafty Lady,インリアリティ,Intentionally,My Dear Girl,Princess Roycraft,Royal Note,Crafty Princess,Wife Mistress,セクレタリアト,Bold Ruler,Nasrullah,Miss Disco,Somethingroyal,Princequillo,Imperatrice,Political Payoff,Buckpasser,Tom Fool,Busanda,Tiny Request,Requested,Albania
アイムホーム,アイムホーム,1,サクラバクシンオー,サクラユタカオー,テスコボーイ,Princely Gift,Nasrullah,Blue Gem,Suncourt,Hyperion,Inquisition,アンジエリカ,ネヴァービート,Never Say Die,Bride Elect,スターハイネス,ユアハイネス,スターロツチ,サクラハゴロモ,ノーザンテースト,Northern Dancer,Nearctic,Natalma,Lady Victoria,Victoria Park,Lady Angela,クリアアンバー,Ambiopoise,Ambiorix,Bull Poise,One Clear Call,Gallant Man,Europa,メガミゲラン,シェイディハイツ,シャーリーハイツ,ミルリーフ,Never Bend,Milan Mill,Hardiemma,ハーディカヌート,Grand Cross,Vaguely,Bold Lad,Bold Ruler,Barn Pride,Vaguely Mine,Silly Season,Tantalizer,モガミゲラン,モガミ,リファール,Northern Dancer,Goofed,ノーラツク,Lucky Debonair,No Teasing,ミスゲラン,マルゼンスキー,ニジンスキー,シル,ゲラン,ソロナウェー,ミスブゼン
アイラブエンバク,アイラブエンバク,1,マイネルラヴ,シーキングザゴールド,ミスタープロスペクター,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,Con Game,Buckpasser,Tom Fool,Busanda,Broadway,Hasty Road,Flitabout,Heart of Joy,リイフォー,リファール,Northern Dancer,Goofed,Klaizia,Sing Sing,Klainia,Mythographer,セクレタリアト,Bold Ruler,Somethingroyal,Arachne,Intentionally,Molecombe Peak,イブキローマン,ブレイヴェストローマン,Never Bend,Nasrullah,Nearco,Mumtaz Begum,Lalun,Djeddah,Be Faithful,Roman Song,Roman,Sir Gallahad,Buckup,Quiz Song,Sun Again,Clever Song,シラフジビゼン,バーバー,Princely Gift,Nasrullah,Blue Gem,Desert Girl,Straight Deal,Yashmak,カネワカタケ,ライジングフレーム,The Phoenix,Admirable,レデーラスタム,Migoli,ユーレーシア
アイリッシュリリー,アイリッシュリリー,1,ネイエフ,ガルチ,ミスタープロスペクター,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,Jameela,Rambunctious,Rasper,Danae,Asbury Mary,Seven Corners,Snow Flyer,Height of Fashion,Bustino,バステッド,Crepello,Sans le Sou,Ship Yard,Doutelle,Paving Stone,Highclere,Queen's Hussar,March Past,Jojo,Highlight,Borealis,Hypericum,Dearness,snippets,lunchtime,Silly Season,Tom Fool,Double Deal,Great Occasion,Hornbeam,Golden Wedding,Easy Date,grand chaudiere,Northern Dancer,Lachine,Scampering,Misty Day,Scamper Away,High Heels,canny lad,bletchingly,biscay,Coogee,Jesmond Lass,lunchtime,Beautiful Dreamer,Silken Step,トロメオ,リイフォー,Almagest,Bosk,Damascus,Little Sequoia
アキノカエデ,アキノカエデ,1,Mr.Greeley,ゴーンウェスト,ミスタープロスペクター,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,Secrettame,セクレタリアト,Bold Ruler,Somethingroyal,Tamerett,Tim Tam,Mixed Marriage,Long Legend,Reviewer,Bold Ruler,Nasrullah,Miss Disco,Broadway,Hasty Road,Flitabout,Lianga,ダンサーズイメージ,Native Dancer,Noors Image,Leven Ones,Sailor,Olympia Dell,No More Ironing,スルーオゴールド,シアトルスルー,Bold Reasoning,Boldnesian,Reason to Earn,My Charmer,Poker,Fair Charmer,Alluvial,Buckpasser,Tom Fool,Busanda,Bayou,Hill Prince,Bourtai,Gold Treasure,Northern Dancer,Nearctic,Nearco,Lady Angela,Natalma,Native Dancer,Almahmoud,Treasure Chest,Rough'n Tumble,Free for All,Roused,Iltis,War Relic,We Hail
アクアシャンティー,アクアシャンティー,1,Arch,クリスエス,Roberto,Hail to Reason,Turn-to,Nothirdchance,Bramalea,Nashua,Rarelea,Sharp Queen,Princequillo,Prince Rose,Cosquilla,Bridgework,Occupy,Feale Bridge,Aurora,ダンチヒ,Northern Dancer,Nearctic,Natalma,Pas de Nom,Admiral's Voyage,Petitioner,Althea,アリダー,Raise a Native,Sweet Tooth,Courtly Dee,Never Bend,Tulle,アッファビリティー,Unbridled,ファピアノ,ミスタープロスペクター,Raise a Native,Gold Digger,Killaloe,ドクターフェイガー,Grand Splendor,Gana Facil,Le Fabuleux,Wild Risk,Anguar,Charedi,インリアリティ,Magic,Galletto,ニジンスキー,Northern Dancer,Nearctic,Natalma,Flaming Page,Bull Page,Flaring Top,Gaia,Charlottesville,Prince Chevalier,Noorani,Ghana,Botticelli,Grolldochnicht
アクアドリップ,アクアドリップ,1,リアファン,Roberto,Hail to Reason,Turn-to,Royal Charger,Source Sucree,Nothirdchance,Blue Swords,Galla Colors,Bramalea,Nashua,Nasrullah,Segula,Rarelea,Bull Lea,Bleebok,Wac,Lt.Stevens,Nantallah,Nasrullah,Shimmer,Rough Shod,Gold Bridge,Dalmary,Belthazar,War Admiral,Man o'War,Brushup,Blinking Owl,Pharamond,Baba Kenny,Felicita,Rubiano,ファピアノ,ミスタープロスペクター,Raise a Native,Gold Digger,Killaloe,ドクターフェイガー,Grand Splendor,Ruby Slippers,ニジンスキー,Northern Dancer,Flaming Page,Moon Glitter,インリアリティ,Foggy Note,Grand Bonheur,ブラッシンググルーム,Red God,Nasrullah,Spring Run,Runaway Bride,Wild Risk,Aimee,Director,Swaps,Khaled,Iron Reward,Times Two,Double Jay,Bayadere
アクセスマップ,アクセスマップ,1,エルコンドルパサー,キングマンボ,ミスタープロスペクター,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,Miesque,ヌレイエフ,Northern Dancer,Special,Pasadoble,Prove Out,Santa Quilla,サドラーズギャル,サドラーズウェルズ,Northern Dancer,Nearctic,Natalma,Fairy Bridge,Bold Reason,Special,Glenveagh,シアトルスルー,Bold Reasoning,My Charmer,Lisadell,フォルリ,Thong,セシルカット,サンデーサイレンス,ヘイロー,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,アンダースタンディング,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,ダイナカール,ノーザンテースト,Northern Dancer,Nearctic,Natalma,Lady Victoria,Victoria Park,Lady Angela,シヤダイフエザー,ガーサント,Bubbles,Montagnana,パロクサイド,Never Say Die,Feather Ball
アシゲショウジョ,アシゲショウジョ,1,エルコンドルパサー,キングマンボ,ミスタープロスペクター,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,Miesque,ヌレイエフ,Northern Dancer,Special,Pasadoble,Prove Out,Santa Quilla,サドラーズギャル,サドラーズウェルズ,Northern Dancer,Nearctic,Natalma,Fairy Bridge,Bold Reason,Special,Glenveagh,シアトルスルー,Bold Reasoning,My Charmer,Lisadell,フォルリ,Thong,ファビラスラフイン,Fabulous Dancer,Northern Dancer,Nearctic,Nearco,Lady Angela,Natalma,Native Dancer,Almahmoud,Last of the Line,The Axe,Mahmoud,Blackball,Bryonia,Honeyway,Belladonna,Mercalle,Kaldoun,カロ,フォルティノ,Chambord,Katana,Le Haar,Embellie,Eole des Mers,Carvin,マリーノ,Coraline,Deesse des Mers,Neptune,Brise de Mer
