アーツアンドレターズ,アーツアンドレターズ,0,Ribot,Tenerani,Bellini,Cavaliere d'Arpino,Havresac,Chuette,Bella Minna,Bachelor's Double,Santa Minna,Tofanella,Apelle,Sardanapale,Angelina,Try Try Again,Gylgad,Perseverance,Romanella,El Greco,Pharos,Phalaris,Scapa Flow,Gay Gamp,Gay Crusader,Parasol,Barbara Burrini,Papyrus,Tracery,Miss Matty,Bucolic,Buchan,Volcanic,All Beautiful,Battlefield,War Relic,Man o'War,Fair Play,Mahubah,Friar's Carse,Friar Rock,Problem,Dark Display,Display,Fair Play,Cicuta,Dark Loveliness,Traumer,Sunny Love,Parlo,Heliopolis,Hyperion,Gainsborough,Selene,Drift,Swynford,Santa Cruz,Fairy Palace,Pilate,Friar Rock,Herodias,Star Fairy,The Satrap,Fair Star
アーティアス,アーティアス,0,Round Table,Princequillo,Prince Rose,Rose Prince,Prince Palatine,Eglantine,Indolence,Gay Crusader,Barrier,Cosquilla,Papyrus,Tracery,Miss Matty,Quick Thought,White Eagle,Mindful,Knights Daughter,Sir Cosmo,The Boss,Orby,Southern Cross,Ayn Hali,Desmond,Lalla Rookh,Feola,Friar Marcus,Cicero,Prim Nun,Aloe,Son-in-Law,Alope,Stylish Pattern,My Babu,Djebel,Tourbillon,Ksar,Durban,Loika,Gay Crusader,Coeur a Coeur,Perfume,Badruddin,Blandford,Mumtaz Mahal,Lavendula,Pharos,Sweet Lavender,Sunset Gun,Hyperion,Gainsborough,Bayardo,Rosedrop,Selene,Chaucer,Serenissima,Ace of Spades,Atout Maitre,Vatout,Royal Mistress,Brave Empress,Tiberius,Molly Adare
アーネストリー,アーネストリー,0,グラスワンダー,シルヴァーホーク,Roberto,Hail to Reason,Turn-to,Nothirdchance,Bramalea,Nashua,Rarelea,Gris Vitesse,アメリゴ,Nearco,Sanlinea,Matchiche,Mat de Cocagne,Chimere Fabuleuse,Ameriflora,ダンチヒ,Northern Dancer,Nearctic,Natalma,Pas de Nom,Admiral's Voyage,Petitioner,Graceful Touch,ヒズマジェスティ,Ribot,Flower Bowl,Pi Phi Gal,Raise a Native,Soaring,レットルダムール,トニービン,カンパラ,カラムーン,ゼダーン,Khairunissa,State Pension,オンリーフォアライフ,Lorelei,Severn Bridge,Hornbeam,Hyperion,Thicket,Priddy Fair,Preciptic,Campanette,ダイナチヤイナ,ノーザンテースト,Northern Dancer,Nearctic,Natalma,Lady Victoria,Victoria Park,Lady Angela,アスコツトラツプ,エルセンタウロ,Sideral,Planetaria,デイープデイーン,Bold Ruler,High Bid
アーミジャー,アーミジャー,0,レインボウクエスト,ブラッシンググルーム,Red God,Nasrullah,Nearco,Mumtaz Begum,Spring Run,Menow,Boola Brook,Runaway Bride,Wild Risk,Rialto,Wild Violet,Aimee,Tudor Minstrel,Emali,I Will Follow,エルバジェ,Vandale,Plassy,Vanille,Flagette,Escamillo,Fidgette,Where You Lead,Raise a Native,Native Dancer,Raise You,Noblesse,Mossborough,Duke's Delight,Armeria,Northern Dancer,Nearctic,Nearco,Pharos,Nogara,Lady Angela,Hyperion,Sister Sarah,Natalma,Native Dancer,Mahmoud,Geisha,Almahmoud,Mahmoud,Arbitrator,Frontonian,Buckpasser,Tom Fool,Menow,Gaga,Busanda,War Admiral,Businesslike,Treasure Chest,Rough'n Tumble,Free for All,Roused,Iltis,War Relic,We Hail
アイアムアカペラオー,アイアムアカペラオー,0,オペラハウス,サドラーズウェルズ,Northern Dancer,Nearctic,Nearco,Lady Angela,Natalma,Native Dancer,Almahmoud,Fairy Bridge,Bold Reason,Hail to Reason,Lalun,Special,フォルリ,Thong,Colorspin,ハイトップ,Derring-Do,Darius,Sipsey Bridge,Camenae,ヴィミー,Madrilene,Reprocolor,Jimmy Reppin,Midsummer Night,Sweet Molly,Blue Queen,Majority Blue,Hill Queen,ワンスウエド,ブラッシンググルーム,Red God,Nasrullah,Nearco,Mumtaz Begum,Spring Run,Menow,Boola Brook,Runaway Bride,Wild Risk,Rialto,Wild Violet,Aimee,Tudor Minstrel,Emali,Noura,Key to the Kingdom,Bold Ruler,Nasrullah,Miss Disco,Key Bridge,Princequillo,Blue Banner,River Guide,Drone,Sir Gaylord,Cap and Bells,Blue Canoe,Jet Pilot,Portage
アイシラヌユエXX,アイシラヌユエXX,0,トーホウエンペラー,ブライアンズタイム,Roberto,Hail to Reason,Turn-to,Nothirdchance,Bramalea,Nashua,Rarelea,Kelley's Day,グロースターク,Ribot,Flower Bowl,Golden Trail,Hasty Road,Sunny Vale,クリスタルスノー,ノーリュート,リュティエ,Klairon,Flute Enchantee,Prudent Miss,プルーデント,Miss Glasso,イーデンブルース,マッチウォン,Match,Edwina,スズブエ,ハロウェー,キユウシユウ,フローリオット,モンズーン,Konigsstuhl,Dschingis Khan,Tamerlane,Donna Diana,Konigskronung,Tiepoletto,Kronung,Mosella,Surumu,Literat,Surama,Monasia,Authi,Monacensia,Fureau,ファーディナンド,ニジンスキー,Northern Dancer,Flaming Page,Banja Luka,Double Jay,Legato,Fluid Dancer,アイリッシュリヴァー,リヴァーマン,Irish Star,Destiny's Dancer,Gallant Romeo,Dancers Countess
アイスカペイド,アイスカペイド,0,Nearctic,Nearco,Pharos,Phalaris,Polymelus,Bromus,Scapa Flow,Chaucer,Anchora,Nogara,Havresac,Rabelais,Hors Concours,Catnip,Spearmint,Sibola,Lady Angela,Hyperion,Gainsborough,Bayardo,Rosedrop,Selene,Chaucer,Serenissima,Sister Sarah,Abbots Trace,Tracery,Abbots Anne,Sarita,Swynford,Molly Desmond,Shenanigans,Native Dancer,Mahmoud,Unbreakable,Sickle,Blue Glass,Black Polly,Polymelian,Black Queen,Geisha,Discovery,Display,Ariadne,Miyako,John P. Grier,La Chica,Bold Irish,Fighting Fox,Sir Gallahad,Teddy,Plucky Liege,Marguerite,Celt,Fairy Ray,Erin,Transmute,Broomstick,Traverse,Rosie o'Grady,Hamburg,Cherokee Rose
アイダホ,アイダホ,0,ガリレオ,サドラーズウェルズ,Northern Dancer,Nearctic,Nearco,Lady Angela,Natalma,Native Dancer,Almahmoud,Fairy Bridge,Bold Reason,Hail to Reason,Lalun,Special,フォルリ,Thong,アーバンシー,ミスワキ,ミスタープロスペクター,Raise a Native,Gold Digger,Hopespringseternal,Buckpasser,Rose Bower,Allegretta,Lombard,agio,Promised Lady,Anatevka,Espresso,Almyra,Hveger,デインヒル,ダンチヒ,Northern Dancer,Nearctic,Natalma,Pas de Nom,Admiral's Voyage,Petitioner,Razyana,ヒズマジェスティ,Ribot,Flower Bowl,Spring Adieu,Buckpasser,Natalma,Circles of Gold,Marscay,biscay,Star Kingdom,Magic Symbol,Heart of Market,To Market,Accroche Coeur,Olympic Aim,Zamazaan,Exbury,Toyama,Gold Vink,Gold Sovereign,Goudvink
アイナドイラヌXX,アイナドイラヌXX,0,スターリングローズ,アフリート,ミスタープロスペクター,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,Polite Lady,Venetian Jester,Tom Fool,Venice,Friendly Ways,Green Ticket,Ways to Learn,コマーズ,ダンチヒ,Northern Dancer,Nearctic,Natalma,Pas de Nom,Admiral's Voyage,Petitioner,ミドルマーチ,Buckpasser,Tom Fool,Busanda,Nice Princess,Le Beau Prince,Happy Night,サヤカ,エーピーインディ,シアトルスルー,Bold Reasoning,Boldnesian,Reason to Earn,My Charmer,Poker,Fair Charmer,Weekend Surprise,セクレタリアト,Bold Ruler,Somethingroyal,Lassie Dear,Buckpasser,Gay Missile,Spectacular Sue,Spectacular Bid,Bold Bidder,Bold Ruler,High Bid,Spectacular,Promised Land,Stop on Red,In Concert,リヴァーマン,Never Bend,River Lady,What Charisma,Raise a Native,Yellow Train
アイネスフウジン,アイネスフウジン,0,シーホーク,エルバジェ,Vandale,Plassy,Bosworth,Pladda,Vanille,La Farina,Vaya,Flagette,Escamillo,Firdaussi,Estoril,Fidgette,Firdaussi,Boxeuse,Sea Nymph,Free Man,Norseman,Umidwar,Tara,Fantine,Fantastic,Sif,Sea Spray,Ocean Swell,Blue Peter,Jiffy,Pontoon,Mahmoud,Ponteba,テスコパール,テスコボーイ,Princely Gift,Nasrullah,Nearco,Mumtaz Begum,Blue Gem,Blue Peter,Sparkle,Suncourt,Hyperion,Gainsborough,Selene,Inquisition,Dastur,Jury,ムツミパール,モンタヴァル,Norseman,Umidwar,Tara,Ballynash,Nasrullah,Ballywellbroke,マサリユウ,トサミドリ,プリメロ,フリツパンシー,ユキツキ,クモハタ,スターライト
アイランドホワール,アイランドホワール,0,Pago Pago,Matrice,Masthead,Blue Peter,Fairway,Fancy Free,Schiaparelli,Schiavoni,Aileen,La Patrice,St.Magnus,Sansovino,Fair Isle,La Joconde,Heroic,Bronacre,Pompilia,Abbots Fell,Felstead,Spion Kop,Felkington,Lady Abbess,Friar Marcus,Bay Lady,Pagan Queen,Talking,Magpie,Society,Certes,Silverado,Bravery,Alitwirl,Your Alibhai,Alibhai,Hyperion,Gainsborough,Selene,Teresina,Tracery,Blue Tit,Your Game,Beau Pere,Son-in-Law,Cinna,Winkle,Windsor Lad,Cora Pearl,Amber Dancer,Native Dancer,Mahmoud,Unbreakable,Black Polly,Geisha,Discovery,Miyako,Occasionally,Ambiorix,Tourbillon,Lavendula,Seldom,Sir Gallahad,So Rare
